Material,Material Text,Node,Available Supply,Projected_Shortage_Qty,Need_in_days,daily_shortage_cost,Demand
1,Example Material-1,1020,279549,0,0,1000,38744
1,Example Material-1,1100,631798,0,0,1000,242898
1,Example Material-1,1415,317237,0,0,1000,64171
1,Example Material-1,1645,477493,0,0,1000,39219
2,Example Material-2,1020,296666,0,0,1000,280788
2,Example Material-2,1100,399452,0,0,1000,240717
2,Example Material-2,1415,172799,110638,2,1000,283437
2,Example Material-2,1645,49785,3389,19,1000,53174
3,Example Material-3,1020,549917,0,0,1000,167358
3,Example Material-3,1100,260459,0,0,1000,14041
3,Example Material-3,1415,340821,0,0,1000,335590
3,Example Material-3,1645,115020,85191,4,1000,200211
4,Example Material-4,1020,197680,7642,16,1000,205322
4,Example Material-4,1100,46638,111338,8,1000,157976
4,Example Material-4,1415,109523,102465,24,1000,211988
4,Example Material-4,1645,973143,0,0,1000,188500
5,Example Material-5,1020,552051,0,0,1000,218053
5,Example Material-5,1100,840028,0,0,1000,354172
5,Example Material-5,1415,160185,0,0,1000,66012
5,Example Material-5,1645,390358,0,0,1000,126285
6,Example Material-6,1020,239700,0,0,1000,74892
6,Example Material-6,1100,72450,278194,15,1000,350644
6,Example Material-6,1415,321946,3465,2,1000,325411
6,Example Material-6,1645,723785,0,0,1000,227707
7,Example Material-7,1020,948451,0,0,1000,350716
7,Example Material-7,1100,759821,0,0,1000,118069
7,Example Material-7,1415,77147,199989,4,1000,277136
7,Example Material-7,1645,606960,0,0,1000,6306
8,Example Material-8,1020,625004,0,0,1000,39779
8,Example Material-8,1100,70728,257592,17,1000,328320
8,Example Material-8,1415,395250,0,0,1000,196017
8,Example Material-8,1645,543445,0,0,1000,49986
9,Example Material-9,1020,670824,0,0,1000,351357
9,Example Material-9,1100,426479,0,0,1000,195722
9,Example Material-9,1415,983995,0,0,1000,362495
9,Example Material-9,1645,259129,97060,9,1000,356189
10,Example Material-10,1020,575713,0,0,1000,171495
10,Example Material-10,1100,731831,0,0,1000,16474
10,Example Material-10,1415,508404,0,0,1000,218098
10,Example Material-10,1645,28281,0,0,1000,7447
11,Example Material-11,1020,31086,149957,13,1000,181043
11,Example Material-11,1100,404194,0,0,1000,197802
11,Example Material-11,1415,225205,0,0,1000,200537
11,Example Material-11,1645,920284,0,0,1000,10735
12,Example Material-12,1020,755544,0,0,1000,77608
12,Example Material-12,1100,395291,0,0,1000,356289
12,Example Material-12,1415,209353,63870,11,1000,273223
12,Example Material-12,1645,949668,0,0,1000,380888
13,Example Material-13,1020,91523,284106,4,1000,375629
13,Example Material-13,1100,408482,0,0,1000,189329
13,Example Material-13,1415,968038,0,0,1000,172531
13,Example Material-13,1645,877488,0,0,1000,216638
14,Example Material-14,1020,401506,0,0,1000,160814
14,Example Material-14,1100,743420,0,0,1000,145043
14,Example Material-14,1415,918839,0,0,1000,76030
14,Example Material-14,1645,787851,0,0,1000,184089
15,Example Material-15,1020,887182,0,0,1000,185753
15,Example Material-15,1100,835105,0,0,1000,330567
15,Example Material-15,1415,585907,0,0,1000,229098
15,Example Material-15,1645,727471,0,0,1000,316078
16,Example Material-16,1020,686821,0,0,1000,124748
16,Example Material-16,1100,834578,0,0,1000,43969
16,Example Material-16,1415,999531,0,0,1000,33911
16,Example Material-16,1645,918367,0,0,1000,222495
17,Example Material-17,1020,697050,0,0,1000,273796
17,Example Material-17,1100,18343,164668,15,1000,183011
17,Example Material-17,1415,914517,0,0,1000,308576
